entityName,year,value
Schafiiten,750,1.0
Genealoge,750,1.0
Philosoph,800,3.0
Historiker,800,3.0
Arzt,800,4.0
Schriftsteller,800,17.0
Philologe,800,7.0
Adel,800,13.0
König,800,5.0
Kaiser,800,1.0
Heilige,800,1.0
Kalligraph,800,1.0
Astronom,800,1.0
Herrscher,800,1.0
Grammatiker,800,2.0
Gelehrter,800,9.0
Übersetzer,800,1.0
Priester,800,2.0
Musiker,800,1.0
Komponist,800,1.0
Märtyrer,800,1.0
Schriftstellerin,800,1.0
Heiliger,800,7.0
Maler,800,1.0
Autor,800,2.0
Lyriker,800,2.0
Geistlicher,800,2.0
Theologe,800,11.0
Bischof,800,5.0
Soldat,800,2.0
Missionar,800,2.0
Kaiserin,800,2.0
Mönch,800,8.0
Familie,800,4.0
Patriarch,800,1.0
Papst,800,1.0
Abt,800,3.0
Katholikos,800,1.0
Presbyter,800,1.0
Erzbischof,800,7.0
Nonne,800,2.0
Königin,800,2.0
Rechtsgelehrter,800,2.0
Kronprinz,800,1.0
Graf,800,4.0
Kalif,800,1.0
Herzog,800,2.0
Äbtissin,800,4.0
Mathematiker,800,1.0
Chronist,800,1.0
Fürst,800,3.0
Islamwissenschaftler,800,3.0
Kadi,800,2.0
Sufi,800,2.0
Diakon,800,2.0
Theosoph,800,1.0
Reisender,800,1.0
Bibliothekar,800,1.0
Doge,800,1.0
Archivar,800,1.0
Markgraf,800,1.0
Botaniker,800,1.0
Gegenpapst,800,1.0
Markgräfin,800,1.0
Selige,800,1.0
Regent,800,1.0
Emir,800,1.0
Komponistin,800,1.0
Philosoph,850,4.0
Historiker,850,4.0
Arzt,850,2.0
Schriftsteller,850,20.0
Geschichtsschreiber,850,1.0
Politiker,850,1.0
Verwaltungsbeamter,850,1.0
Philologe,850,5.0
Adel,850,16.0
König,850,6.0
Beamter,850,4.0
Kaiser,850,4.0
Astronom,850,3.0
Künstler,850,1.0
Herrscher,850,1.0
Geograf,850,1.0
Jurist,850,1.0
Gelehrter,850,5.0
Musiker,850,1.0
Komponist,850,1.0
Schriftstellerin,850,1.0
Heiliger,850,2.0
Autor,850,1.0
Lyriker,850,4.0
Theologe,850,8.0
Bischof,850,6.0
General,850,1.0
Kaiserin,850,1.0
Mönch,850,6.0
Familie,850,2.0
Patriarch,850,1.0
Abt,850,6.0
Erzbischof,850,2.0
Nonne,850,1.0
Königin,850,3.0
Rechtsgelehrter,850,3.0
Buddhist,850,1.0
Herzogin,850,2.0
Katholischer Theologe,850,1.0
Graf,850,3.0
Herzog,850,5.0
Äbtissin,850,1.0
Mathematiker,850,1.0
Astrologe,850,1.0
Islamwissenschaftler,850,1.0
Sufi,850,1.0
Doge,850,1.0
Markgraf,850,1.0
Markgräfin,850,1.0
Architekt,850,1.0
Kunsthandwerker,850,1.0
Zar,850,1.0
Großfürst,850,1.0
Polyhistor,850,1.0
Philosoph,900,1.0
Historiker,900,3.0
Arzt,900,4.0
Schriftsteller,900,15.0
Geschichtsschreiber,900,3.0
Politiker,900,2.0
Rabbiner,900,1.0
Philologe,900,3.0
Adel,900,17.0
König,900,7.0
Beamter,900,2.0
Heilige,900,1.0
Kalligraph,900,1.0
Astronom,900,3.0
Herrscher,900,3.0
Grammatiker,900,6.0
Geograf,900,2.0
Jurist,900,4.0
Gelehrter,900,7.0
Priester,900,1.0
Komponist,900,1.0
Schriftstellerin,900,2.0
Heiliger,900,6.0
Maler,900,2.0
Autor,900,3.0
Lyriker,900,2.0
Theologe,900,8.0
Schauspielerin,900,1.0
Bischof,900,14.0
Missionar,900,2.0
Kaiserin,900,1.0
Mönch,900,10.0
Familie,900,2.0
Feldherr,900,3.0
Abt,900,4.0
Asket,900,1.0
Erzbischof,900,7.0
Königin,900,3.0
Rechtsgelehrter,900,2.0
Herzogin,900,1.0
Graf,900,3.0
Kalif,900,4.0
Herzog,900,8.0
Äbtissin,900,2.0
Mathematiker,900,1.0
Minister,900,1.0
Tafsir,900,2.0
Mystiker,900,1.0
Chronist,900,1.0
Lexikograf,900,1.0
Astrologe,900,1.0
Linguist,900,1.0
Doge,900,1.0
Markgraf,900,3.0
Großfürst,900,1.0
Gaon,900,2.0
Fürstin,900,1.0
Choreografin,900,1.0
Mäzen,900,1.0
Pädagogin,900,1.0
Prediger,900,1.0
Kanzleibeamter,900,1.0
Pfalzgraf,900,1.0
Stifterin,900,1.0
Widerstandskämpfer,900,1.0
Weiser,900,1.0
Friseur,900,1.0
Balletttänzerin,900,1.0
Gräfin,900,1.0
Hofmeister,900,1.0
Ritter,900,1.0
Medizinhistoriker,900,1.0
Wesir,900,1.0
Philosoph,950,3.0
Historiker,950,5.0
Arzt,950,6.0
Schriftsteller,950,11.0
Geschichtsschreiber,950,1.0
Politiker,950,2.0
Adel,950,32.0
König,950,6.0
Beamter,950,2.0
Kaiser,950,1.0
Naturwissenschaftler,950,1.0
Heilige,950,1.0
Kalligraph,950,1.0
Astronom,950,1.0
Herrscher,950,1.0
Geograf,950,1.0
Ärztin,950,3.0
Chemiker,950,3.0
Jurist,950,1.0
Gelehrter,950,12.0
Diplomat,950,1.0
Übersetzer,950,1.0
Priester,950,1.0
Märtyrer,950,1.0
Schriftstellerin,950,3.0
Heiliger,950,9.0
Maler,950,1.0
Autor,950,2.0
Schauspieler,950,1.0
Lyriker,950,2.0
Geistlicher,950,1.0
Theologe,950,12.0
Lehrer,950,1.0
Bischof,950,13.0
Militär,950,1.0
Missionar,950,2.0
Kaiserin,950,1.0
Mönch,950,14.0
Familie,950,2.0
Patriarch,950,1.0
Papst,950,2.0
Abt,950,7.0
Asket,950,1.0
Erzbischof,950,6.0
Nonne,950,2.0
Hagiograf,950,1.0
Königin,950,5.0
Rechtsgelehrter,950,6.0
Christlicher Schriftsteller,950,1.0
Graf,950,8.0
Kalif,950,1.0
Herzog,950,9.0
Einsiedler,950,1.0
Äbtissin,950,5.0
Pharmakologe,950,1.0
Mathematiker,950,3.0
Koranrezitator,950,1.0
Mystiker,950,1.0
Metropolit,950,1.0
Chronist,950,4.0
Imam,950,2.0
Astrologe,950,2.0
Fürst,950,2.0
Linguist,950,2.0
Kadi,950,1.0
Lyrikerin,950,1.0
Domkapitular,950,1.0
Sufi,950,1.0
Doge,950,1.0
Markgraf,950,4.0
Großfürst,950,1.0
Polyhistor,950,1.0
Fürstin,950,2.0
Pädagogin,950,1.0
Pfalzgraf,950,1.0
Stifterin,950,1.0
Gräfin,950,2.0
Wesir,950,1.0
Skalde,950,2.0
Vogt,950,2.0
Talmudist,950,1.0
Landschaft,950,1.0
Mäzenin,950,1.0
Hofdame,950,1.0
Soziologe,950,1.0
Hebraist,950,1.0
Zaiditen,950,1.0
Landschaftsmaler,950,1.0
Maschinenbauingenieur,950,1.0
Literaturwissenschaftlerin,950,1.0
Regentin,950,1.0
Sohn,950,1.0
Politologe,950,1.0
Philologin,950,1.0
Digambara,950,1.0
Biologe,950,1.0
Verwaltungswirt,950,1.0
Schutzpatron,950,1.0
Pfalzgräfin,950,1.0
Dynastie,950,1.0
Kompilation,950,1.0
Betriebswirt,950,1.0
Neurowissenschaftler,950,1.0
Zahnarzt,950,1.0
Weltgeistlicher,950,1.0
Schlacht von Vlaardingen,950,1.0
Konvertit,950,1.0
Musikwissenschaftler,950,1.0
Philosoph,1000,15.0
Historiker,1000,7.0
Arzt,1000,3.0
Schriftsteller,1000,34.0
Politiker,1000,7.0
Rabbiner,1000,3.0
Philologe,1000,2.0
Adel,1000,43.0
König,1000,16.0
Beamter,1000,4.0
Kaiser,1000,2.0
Kalligraph,1000,2.0
Astronom,1000,1.0
Künstler,1000,1.0
Herrscher,1000,4.0
Grammatiker,1000,1.0
Geograf,1000,1.0
Chemiker,1000,1.0
Jurist,1000,2.0
Gelehrter,1000,10.0
Fotograf,1000,1.0
Übersetzer,1000,4.0
Komponist,1000,1.0
Märtyrer,1000,1.0
Schriftstellerin,1000,2.0
Heiliger,1000,14.0
Maler,1000,5.0
Autor,1000,4.0
Lyriker,1000,8.0
Geistlicher,1000,2.0
Theologe,1000,12.0
Schauspielerin,1000,1.0
Bischof,1000,20.0
General,1000,1.0
Soldat,1000,1.0
Missionar,1000,1.0
Kirchenlehrer,1000,1.0
Mönch,1000,27.0
Familie,1000,10.0
Patriarch,1000,3.0
Papst,1000,4.0
Feldherr,1000,1.0
Abt,1000,12.0
Erzbischof,1000,7.0
Hagiograf,1000,1.0
Königin,1000,3.0
Rechtsgelehrter,1000,4.0
Buddhist,1000,2.0
Chronograph,1000,1.0
Sagengestalt,1000,1.0
Herzogin,1000,2.0
Katholischer Theologe,1000,3.0
Graf,1000,25.0
Kalif,1000,2.0
Herzog,1000,11.0
Einsiedler,1000,2.0
Äbtissin,1000,2.0
Prinz,1000,1.0
Mathematiker,1000,2.0
Mystiker,1000,2.0
Chronist,1000,5.0
Imam,1000,1.0
Religiöser Führer,1000,1.0
Fürst,1000,1.0
Linguist,1000,1.0
Islamwissenschaftler,1000,1.0
Bhikku,1000,1.0
Kadi,1000,1.0
Sufi,1000,2.0
Markgraf,1000,7.0
Großfürst,1000,1.0
Pfalzgraf,1000,1.0
Stifterin,1000,2.0
Gräfin,1000,3.0
Ritter,1000,1.0
Vogt,1000,1.0
Hofdame,1000,1.0
Landschaftsmaler,1000,2.0
Journalist,1000,2.0
Kardinal,1000,2.0
Prinzessin,1000,2.0
Prosaist,1000,2.0
Richter,1000,2.0
Klerus,1000,2.0
Lama,1000,2.0
Gesandter,1000,2.0
Ordensgründer,1000,2.0
Physiologe,1000,1.0
Tierarzt,1000,1.0
Burggraf,1000,1.0
Seliger,1000,1.0
Religionswissenschaftler,1000,1.0
Wirtschaftswissenschaftler,1000,1.0
Berater,1000,1.0
Basilianer,1000,1.0
Rebell,1000,1.0
Ordenspriester,1000,1.0
Statistiker,1000,1.0
Reformer,1000,1.0
Biochemiker,1000,1.0
Baumeister,1000,1.0
Großfürstin,1000,1.0
Buchmalerin,1000,1.0
Kanoniker,1000,1.0
Tänzerin,1000,1.0
Drehbuchautor,1000,1.0
Siddha,1000,1.0
Legat,1000,1.0
Philosoph,1050,18.0
Historiker,1050,7.0
Arzt,1050,7.0
Schriftsteller,1050,29.0
Geschichtsschreiber,1050,4.0
Politiker,1050,3.0
Statthalter,1050,2.0
Philologe,1050,1.0
Adel,1050,60.0
König,1050,8.0
Beamter,1050,4.0
Kaiser,1050,1.0
Heilige,1050,1.0
Kalligraph,1050,2.0
Astronom,1050,1.0
Künstler,1050,2.0
Herrscher,1050,4.0
Grammatiker,1050,1.0
Geograf,1050,2.0
Ärztin,1050,1.0
Jurist,1050,2.0
Gelehrter,1050,16.0
Musikwissenschaftlerin,1050,1.0
Musiker,1050,1.0
Märtyrer,1050,1.0
Schriftstellerin,1050,2.0
Heiliger,1050,14.0
Maler,1050,4.0
Autor,1050,10.0
Schauspieler,1050,2.0
Lyriker,1050,6.0
Geistlicher,1050,2.0
Theologe,1050,18.0
Zoologe,1050,1.0
Herausgeber,1050,1.0
Bischof,1050,29.0
Militär,1050,1.0
Soldat,1050,1.0
Missionar,1050,1.0
Kaiserin,1050,1.0
Alchemist,1050,1.0
Kirchenlehrer,1050,1.0
Mönch,1050,23.0
Familie,1050,7.0
Papst,1050,2.0
Feldherr,1050,1.0
Abt,1050,15.0
Katholikos,1050,1.0
Erzbischof,1050,8.0
Nonne,1050,2.0
Königin,1050,1.0
Rechtsgelehrter,1050,8.0
Buddhist,1050,2.0
Herzogin,1050,5.0
Einsiedlerin,1050,2.0
Buddhismus,1050,1.0
Katholischer Theologe,1050,3.0
Graf,1050,30.0
Kalif,1050,1.0
Herzog,1050,13.0
Einsiedler,1050,4.0
Äbtissin,1050,1.0
Kaufmann,1050,1.0
Pharmakologe,1050,1.0
Mathematiker,1050,2.0
Minister,1050,2.0
Hofbeamter,1050,1.0
Mystiker,1050,2.0
Metropolit,1050,2.0
Chronist,1050,3.0
Sufismus,1050,1.0
Astrologe,1050,1.0
Höfling,1050,1.0
Fürst,1050,1.0
Mystikerin,1050,1.0
Islamwissenschaftler,1050,1.0
Kadi,1050,1.0
Lyrikerin,1050,1.0
Genealoge,1050,1.0
Sufi,1050,5.0
Reisender,1050,2.0
Bibliothekar,1050,1.0
Doge,1050,1.0
Markgraf,1050,5.0
Markgräfin,1050,6.0
Komponistin,1050,1.0
Pfalzgraf,1050,2.0
Stifterin,1050,4.0
Gräfin,1050,7.0
Ritter,1050,1.0
Vogt,1050,3.0
Talmudist,1050,2.0
Zahnarzt,1050,1.0
Musikwissenschaftler,1050,2.0
Kardinal,1050,2.0
Prinzessin,1050,2.0
Prosaist,1050,1.0
Klerus,1050,1.0
Lama,1050,2.0
Gesandter,1050,1.0
Burggraf,1050,1.0
Seliger,1050,5.0
Wirtschaftswissenschaftler,1050,1.0
Baumeister,1050,1.0
Kanoniker,1050,3.0
Lehrerin,1050,3.0
Herrscherin,1050,2.0
Archidiakon,1050,2.0
Exeget,1050,2.0
Prior,1050,2.0
Ulema,1050,2.0
Filmschauspieler,1050,1.0
Stifter,1050,1.0
Hanefiten,1050,1.0
Englisch,1050,1.0
Rechtsanwältin,1050,1.0
Herstellungsleiter,1050,1.0
Regierungsbeamter,1050,1.0
Schriftkünstler,1050,1.0
Tibetisch,1050,1.0
Zahnarzthelferin,1050,1.0
Konsul,1050,1.0
Leiterin,1050,1.0
Kirchenfürst,1050,1.0
Wissenschaftlicher Mitarbeiter,1050,1.0
Assistenzärztin,1050,1.0
Dompropst,1050,1.0
Kartograf,1050,1.0
Großmeister,1050,1.0
Waka,1050,1.0
Notar,1050,1.0
Schreiber,1050,1.0
Dirigent,1050,1.0
Scheich,1050,1.0
Kadampa,1050,1.0
Theologin,1050,1.0
Stammvater,1050,1.0
Uhrmacher,1050,1.0
Freiherr,1050,1.0
Seherin,1050,1.0
Hochadel,1050,1.0
Autorin,1050,1.0
Generaloberer,1050,1.0
Imamiten,1050,1.0
Bildhauer,1050,1.0
Sultan,1050,1.0
Atabeg,1050,1.0
Propst,1050,1.0
Militärmusiker,1050,1.0
Literaturwissenschaftler,1050,1.0
Fürstbischof,1050,1.0
Kanonist,1050,1.0
Fotografie,1050,1.0
Geschichtsschreiberin,1050,1.0
Theologie,1050,1.0
