source,target,value,relationType
Bossuet,Feuilly,6,a
Bossuet,Prouvaire,2,a
Bossuet,Combeferre,9,c
Bossuet,Mabeuf,1,a
Bossuet,Valjean,1,a
Joly,Bahorel,5,b
Joly,Bossuet,7,c
Joly,Gavroche,3,a
Joly,Courfeyrac,5,a
Joly,Enjolras,5,b
Joly,Feuilly,5,c
Joly,Prouvaire,2,a
Joly,Combeferre,5,a
Joly,Mabeuf,1,b
Joly,Marius,2,c
Grantaire,Bossuet,3,a
Grantaire,Enjolras,3,a
Grantaire,Combeferre,1,b
Grantaire,Courfeyrac,2,a
Grantaire,Joly,2,b
Grantaire,Gavroche,1,c
Grantaire,Bahorel,1,a
Grantaire,Feuilly,1,a
Grantaire,Prouvaire,1,b
MotherPlutarch,Mabeuf,3,c
Gueulemer,Thenardier,5,a
Gueulemer,Valjean,1,a
Gueulemer,Mme.Thenardier,1,b
Gueulemer,Javert,1,c
Gueulemer,Gavroche,1,a
Gueulemer,Eponine,1,a
Babet,Thenardier,6,b
Babet,Gueulemer,6,a
Babet,Valjean,1,a
Babet,Mme.Thenardier,1,a
Babet,Javert,2,b
Babet,Gavroche,1,a
Babet,Eponine,1,b
Claquesous,Thenardier,4,c
Claquesous,Babet,4,a
Claquesous,Gueulemer,4,a
Claquesous,Valjean,1,b
Claquesous,Mme.Thenardier,1,c
Claquesous,Javert,1,a
Claquesous,Eponine,1,a
Claquesous,Enjolras,1,b
Montparnasse,Javert,1,c
Montparnasse,Babet,2,a
Montparnasse,Gueulemer,2,a
Montparnasse,Claquesous,2,b
Montparnasse,Valjean,1,a
Montparnasse,Gavroche,1,a
Montparnasse,Eponine,1,a
Montparnasse,Thenardier,1,b
Toussaint,Cosette,2,a
Toussaint,Javert,1,b
Toussaint,Valjean,1,c
Child1,Gavroche,2,a
Child2,Gavroche,2,a
Child2,Child1,3,a
Brujon,Babet,3,c
Brujon,Gueulemer,3,a
Brujon,Thenardier,3,a
Brujon,Gavroche,1,b
Brujon,Eponine,1,c
Brujon,Claquesous,1,a
Brujon,Montparnasse,1,a
Mme.Hucheloup,Bossuet,1,b
Mme.Hucheloup,Joly,1,a
Mme.Hucheloup,Grantaire,1,a
Mme.Hucheloup,Bahorel,1,a
Mme.Hucheloup,Courfeyrac,1,b
Mme.Hucheloup,Gavroche,1,a
Mme.Hucheloup,Enjolras,1,b
